parent_code,parent_title,child_code,child_title,govuk_link
EIM00010,Data protection,EIM00010,#NAME?,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim00010
EIM00100,About this manual,EIM00100,#NAME?,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim00100
EIM00100,About this manual,EIM00670,(https://www.gov.uk/hmrc-internal-,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim00670
EIM00500,Employment income: contents,EIM00500,#NAME?,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim00500
EIM00500,Employment income: contents,EIM00505,General: contents,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim00505
EIM00500,Employment income: contents,EIM01000,Particular items: A to P: contents,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim01000
EIM00500,Employment income: contents,EIM01650,"Particular items: New Deal, employment zones and",https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim01650
EIM00500,Employment income: contents,EIM03050,Employee Ownership Trusts – qualifying bonus,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim03050
EIM00500,Employment income: contents,EIM03100,Removal or transfer costs: contents,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim03100
EIM00500,Employment income: contents,EIM03600,Restrictive covenants: contents,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim03600
EIM00500,Employment income: contents,EIM04700,Particular items: R to Z: contents,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim04700
EIM11200,Incentive award schemes: contents - HMRC internal manual - GOV.UK,EIM11202,What are they?,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11202
EIM11200,Incentive award schemes: contents - HMRC internal manual - GOV.UK,EIM11205,Tax liability on incentive awards,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11205
EIM11200,Incentive award schemes: contents - HMRC internal manual - GOV.UK,EIM11210,Awards to an employee's family or dependants,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11210
EIM11200,Incentive award schemes: contents - HMRC internal manual - GOV.UK,EIM11215,Accounting and reporting procedures for incentive,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11215
EIM11200,Incentive award schemes: contents - HMRC internal manual - GOV.UK,EIM11220,Promoter wishing to account for tax on awards,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11220
EIM11200,Incentive award schemes: contents - HMRC internal manual - GOV.UK,EIM11225,Valuation of non-cash awards: who does what,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11225
EIM11200,Incentive award schemes: contents - HMRC internal manual - GOV.UK,EIM11230,Awards to the self-employed,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11230
EIM11200,Incentive award schemes: contents - HMRC internal manual - GOV.UK,EIM11235,Taxed award scheme arrangements,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11235
EIM11200,Incentive award schemes: contents - HMRC internal manual - GOV.UK,EIM11240,Incentive Award Unit,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11240
EIM11200,Incentive award schemes: contents - HMRC internal manual - GOV.UK,EIM11245,Action by the provider of awards under a taxed award,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11245
EIM11200,Incentive award schemes: contents - HMRC internal manual - GOV.UK,EIM11255,Taxed award schemes and the self-employed,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11255
EIM11200,Incentive award schemes: contents - HMRC internal manual - GOV.UK,EIM11260,Deductions from awards,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11260
EIM11200,Incentive award schemes: contents - HMRC internal manual - GOV.UK,EIM11265,Taxed award schemes and National Insurance,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11265
EIM11200,Incentive award schemes: contents - HMRC internal manual - GOV.UK,EIM11270,Pay as you earn settlement agreements (PSAs),https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11270
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11301,Accommodation: reason for the charge,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11301
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11302,Accommodation: overview: points you need to consider,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11302
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11306,Accommodation: earnings within Section 62 ITEPA 2003,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11306
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11307,Accommodation: rent allowance or extra salary,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11307
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11308,Accommodation: continuing right to higher wage instead,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11308
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11309,Accommodation: employer deducts rent from gross,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11309
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11310,Accommodation: employee allowed to sub-let,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11310
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11311,Accommodation: preventing a double charge,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11311
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11321,Accommodation: meaning of living accommodation,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11321
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11322,Accommodation: board and lodging and other,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11322
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11331,Living accommodation: description of exemptions,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11331
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11332,Living accommodation exemption: connected,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11332
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11336,Living accommodation exemption: representative,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11336
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11337,Living accommodation exemption: meaning of,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11337
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11338,Living accommodation exemption: handling issues on,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11338
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11339,Withdrawal of extra statutory concession: representative,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11339
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11341,Living accommodation exemption: necessary for proper,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11341
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11342,Living accommodation exemption: necessary for proper,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11342
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11346,Living accommodation exemption: customary and better,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11346
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11347,Living accommodation exemption: the customary test,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11347
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11348,Living accommodation exemption: the customary test:,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11348
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11349,Living accommodation exemption: the better,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11349
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11350,Living accommodation exemption: the better,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11350
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11351,Living accommodation exemption: customary and better,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11351
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11352,Living accommodation exemption: the customary test:,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11352
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11353,Living accommodation exemption: customary and better,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11353
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11361,Living accommodation exemption: special security,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11361
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11362,Living accommodation exemption: special security,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11362
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11366,Living Accommodation exemption: directors,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11366
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11367,Living accommodation exemption: local authority,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11367
EIM11300,Accommodation provided by reason of employment: contents - HMRC internal manual - GOV.UK,EIM11371,Living accommodation exemption: homes outside the,https://www.gov.uk/hmrc-internal-manuals/employment-income-manual/eim11371
